fecha,texto,emocion
2023-03-17,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-03-16,Siento que algo malo va a suceder.,miedo
2023-04-29,Sigo adelante porque aún tengo esperanza.,esperanza
2023-11-01,Siento que no valgo nada.,depresión
2023-02-25,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-07-19,Creo que las cosas pueden mejorar.,esperanza
2024-12-31,Sigo adelante porque aún tengo esperanza.,esperanza
2023-12-01,Quisiera poder volver atrás y arreglarlo.,culpa
2025-01-11,Quisiera poder volver atrás y arreglarlo.,culpa
2023-04-28,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-02-11,"Me siento vacío, como si algo faltara.",tristeza
2023-04-15,No pude evitar llorar esta mañana.,tristeza
2024-01-26,No puedo creer que dije eso frente a todos.,vergüenza
2025-01-17,No puedo dejar de pensar en lo que hice.,culpa
2024-12-19,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-11-14,Mi corazón late rápido y no sé por qué.,ansiedad
2024-08-28,Me regalaron algo que quería hace mucho.,alegría
2023-10-30,No esperaba que me dijera eso.,sorpresa
2024-01-29,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-10-07,No entiendo lo que me está pasando.,confusión
2023-06-05,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2025-01-02,Siento que algo malo va a suceder.,miedo
2024-04-09,Estoy muy confundido con mis emociones.,confusión
2023-07-07,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-10-12,Me regalaron algo que quería hace mucho.,alegría
2024-05-01,Siento que no valgo nada.,depresión
2023-03-27,Creo que las cosas pueden mejorar.,esperanza
2023-03-07,"Me siento vacío, como si algo faltara.",tristeza
2023-01-18,Nada me motiva últimamente.,tristeza
2023-08-08,Siento que no valgo nada.,depresión
2024-07-10,Me siento muy avergonzado por lo que hice.,vergüenza
2023-09-01,"Me siento vacío, como si algo faltara.",tristeza
2023-03-05,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-07-30,Estoy harto de que me ignoren.,ira
2024-10-23,No puedo dejar de pensar en lo que hice.,culpa
2024-08-05,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-06-15,Creo que las cosas pueden mejorar.,esperanza
2024-08-28,No puedo dejar de pensar en lo que hice.,culpa
2024-10-06,Su sonrisa me cambia el día.,amor
2023-09-26,No puedo creer que dije eso frente a todos.,vergüenza
2025-01-06,Estoy harto de que me ignoren.,ira
2023-09-06,Mi corazón late rápido y no sé por qué.,ansiedad
2024-04-19,Tengo miedo de lo que pueda pasar.,miedo
2024-05-28,Tengo miedo de lo que pueda pasar.,miedo
2023-12-02,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-05-23,Siento que algo malo va a suceder.,miedo
2024-10-07,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-09-29,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-11-03,Tengo fe en que todo esto pasará.,esperanza
2023-06-27,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2025-02-02,No tengo ganas de seguir con nada.,depresión
2023-05-06,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-08-21,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-07-27,Me siento culpable aunque no sé si debería.,culpa
2023-08-13,No pude evitar llorar esta mañana.,tristeza
2024-08-26,Quiero desaparecer después de lo que pasó.,vergüenza
2024-08-17,Todo parece un caos en mi cabeza.,confusión
2023-02-18,Me siento muy avergonzado por lo que hice.,vergüenza
2023-06-23,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-08-18,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-08-12,Sigo adelante porque aún tengo esperanza.,esperanza
2024-05-03,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-11-20,Siento que no valgo nada.,depresión
2024-08-11,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-11-21,Creo que las cosas pueden mejorar.,esperanza
2023-06-06,No puedo dejar de pensar en lo que hice.,culpa
2023-03-25,Tengo fe en que todo esto pasará.,esperanza
2024-08-16,Siento que no valgo nada.,depresión
2023-04-15,"No soporto más esta situación, me enoja demasiado.",ira
2024-12-24,Todo parece un caos en mi cabeza.,confusión
2023-04-26,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2025-03-07,Estoy harto de que me ignoren.,ira
2024-03-01,Estoy muy confundido con mis emociones.,confusión
2024-06-06,Tengo fe en que todo esto pasará.,esperanza
2024-05-08,Tengo miedo de lo que pueda pasar.,miedo
2023-03-19,Me siento muy avergonzado por lo que hice.,vergüenza
2024-01-03,Tengo fe en que todo esto pasará.,esperanza
2024-09-23,Siento que algo malo va a suceder.,miedo
2025-02-06,Mi corazón late rápido y no sé por qué.,ansiedad
2024-02-14,"Cada vez que lo veo, me siento en paz.",amor
2025-01-06,Estoy enamorado y no me da miedo decirlo.,amor
2024-06-06,No tengo ganas de seguir con nada.,depresión
2024-01-27,Nada me motiva últimamente.,tristeza
2023-01-04,Me siento muy avergonzado por lo que hice.,vergüenza
2023-01-01,Me siento muy avergonzado por lo que hice.,vergüenza
2024-11-02,No tengo ganas de seguir con nada.,depresión
2023-03-30,Me siento culpable aunque no sé si debería.,culpa
2023-08-31,Me cuesta levantarme de la cama.,depresión
2023-11-12,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-02-23,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-05-25,Tengo miedo de lo que pueda pasar.,miedo
2023-09-10,Creo que las cosas pueden mejorar.,esperanza
2025-02-11,Me cuesta levantarme de la cama.,depresión
2025-02-08,No pude evitar llorar esta mañana.,tristeza
2024-04-13,Estoy harto de que me ignoren.,ira
2023-08-09,No puedo creer que dije eso frente a todos.,vergüenza
2023-06-01,Tengo fe en que todo esto pasará.,esperanza
2023-07-19,Siento que no valgo nada.,depresión
2024-05-25,Me quedé sin palabras.,sorpresa
2023-06-24,Estoy muy confundido con mis emociones.,confusión
2023-03-05,Estoy harto de que me ignoren.,ira
2023-04-13,"Fue una sorpresa total, no lo vi venir.",sorpresa
2025-01-09,No puedo creer que dije eso frente a todos.,vergüenza
2023-07-07,Me siento culpable aunque no sé si debería.,culpa
2023-08-06,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-05-02,Quiero desaparecer después de lo que pasó.,vergüenza
2024-04-21,No esperaba que me dijera eso.,sorpresa
2025-01-04,No tengo ganas de seguir con nada.,depresión
2023-05-14,"Me siento vacío, como si algo faltara.",tristeza
2023-04-04,Estoy harto de que me ignoren.,ira
2023-10-16,"Cada vez que lo veo, me siento en paz.",amor
2023-02-17,"Cada vez que lo veo, me siento en paz.",amor
2024-11-22,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2024-05-23,Tengo miedo de lo que pueda pasar.,miedo
2023-05-02,No entiendo lo que me está pasando.,confusión
2023-08-26,No tengo ganas de seguir con nada.,depresión
2024-12-04,Mi corazón late rápido y no sé por qué.,ansiedad
2024-01-21,No entiendo lo que me está pasando.,confusión
2023-06-23,Tengo fe en que todo esto pasará.,esperanza
2024-06-01,Estoy muy confundido con mis emociones.,confusión
2024-12-07,No puedo dejar de pensar en lo que hice.,culpa
2024-03-02,Me siento muy avergonzado por lo que hice.,vergüenza
2023-10-01,Tengo miedo de lo que pueda pasar.,miedo
2024-09-15,Me siento culpable aunque no sé si debería.,culpa
2024-03-15,No puedo dejar de pensar en lo que hice.,culpa
2024-01-21,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2025-02-14,Tengo fe en que todo esto pasará.,esperanza
2023-06-26,Tengo fe en que todo esto pasará.,esperanza
2023-02-28,Me siento culpable aunque no sé si debería.,culpa
2024-01-06,No esperaba que me dijera eso.,sorpresa
2025-01-07,No tengo ganas de seguir con nada.,depresión
2024-02-27,Mi corazón late rápido y no sé por qué.,ansiedad
2024-10-24,Estoy muy confundido con mis emociones.,confusión
2024-07-13,No pude evitar llorar esta mañana.,tristeza
2023-04-29,Todo parece un caos en mi cabeza.,confusión
2023-04-19,Estoy harto de que me ignoren.,ira
2023-07-14,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-05-31,Estoy enamorado y no me da miedo decirlo.,amor
2024-01-08,"No soporto más esta situación, me enoja demasiado.",ira
2023-07-27,No pude evitar llorar esta mañana.,tristeza
2024-10-20,Mi corazón late rápido y no sé por qué.,ansiedad
2024-03-15,Siento que no valgo nada.,depresión
2024-01-19,Estoy harto de que me ignoren.,ira
2023-02-07,Tengo fe en que todo esto pasará.,esperanza
2025-03-05,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-07-14,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-08-04,Siento que algo malo va a suceder.,miedo
2023-09-26,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-05-29,No puedo creer que dije eso frente a todos.,vergüenza
2023-03-25,Me siento culpable aunque no sé si debería.,culpa
2024-06-16,No tengo ganas de seguir con nada.,depresión
2024-08-04,Tengo miedo de lo que pueda pasar.,miedo
2024-12-13,Sigo adelante porque aún tengo esperanza.,esperanza
2025-01-22,Sigo adelante porque aún tengo esperanza.,esperanza
2023-07-04,"Cada vez que lo veo, me siento en paz.",amor
2024-07-20,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-07-26,Nada me motiva últimamente.,tristeza
2023-03-31,Quiero desaparecer después de lo que pasó.,vergüenza
2023-07-12,No entiendo lo que me está pasando.,confusión
2024-08-21,Creo que las cosas pueden mejorar.,esperanza
2024-12-29,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-04-01,Nada me motiva últimamente.,tristeza
2024-01-07,Estoy enamorado y no me da miedo decirlo.,amor
2024-07-15,Tengo miedo de lo que pueda pasar.,miedo
2023-05-27,Siento que algo malo va a suceder.,miedo
2023-02-11,Todo parece un caos en mi cabeza.,confusión
2024-08-18,Sigo adelante porque aún tengo esperanza.,esperanza
2025-01-09,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-02-06,Mi corazón late rápido y no sé por qué.,ansiedad
2023-07-14,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-02-20,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-11-08,Estoy enamorado y no me da miedo decirlo.,amor
2025-02-09,No puedo dejar de pensar en lo que hice.,culpa
2023-03-15,Estoy enamorado y no me da miedo decirlo.,amor
2024-05-25,Me quedé sin palabras.,sorpresa
2023-07-20,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-01-13,Siento que algo malo va a suceder.,miedo
2024-09-12,"No soporto más esta situación, me enoja demasiado.",ira
2023-04-03,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-01-11,Estoy enamorado y no me da miedo decirlo.,amor
2024-12-31,Tengo fe en que todo esto pasará.,esperanza
2023-06-19,Me siento muy avergonzado por lo que hice.,vergüenza
2024-03-18,No esperaba que me dijera eso.,sorpresa
2024-03-26,No puedo dejar de pensar en lo que hice.,culpa
2024-09-10,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-01-03,Mi corazón late rápido y no sé por qué.,ansiedad
2025-02-20,Estoy harto de que me ignoren.,ira
2023-04-25,Sigo adelante porque aún tengo esperanza.,esperanza
2024-08-30,Me siento muy avergonzado por lo que hice.,vergüenza
2024-09-30,No tengo ganas de seguir con nada.,depresión
2024-08-10,No entiendo lo que me está pasando.,confusión
2023-04-16,Todo parece un caos en mi cabeza.,confusión
2023-08-08,Me regalaron algo que quería hace mucho.,alegría
2024-12-22,No tengo ganas de seguir con nada.,depresión
2023-09-20,"Hoy me siento increíble, todo va saliendo bien.",alegría
2025-02-28,No pude evitar llorar esta mañana.,tristeza
2024-04-18,Creo que las cosas pueden mejorar.,esperanza
2023-06-29,"No soporto más esta situación, me enoja demasiado.",ira
2024-03-14,No pude evitar llorar esta mañana.,tristeza
2024-03-16,Su sonrisa me cambia el día.,amor
2025-02-14,"Cada vez que lo veo, me siento en paz.",amor
2023-08-09,Todo parece un caos en mi cabeza.,confusión
2023-10-28,No tengo ganas de seguir con nada.,depresión
2023-04-19,Siento que no valgo nada.,depresión
2024-08-12,Sigo adelante porque aún tengo esperanza.,esperanza
2024-10-12,Estoy muy confundido con mis emociones.,confusión
2025-03-02,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-05-27,Estoy harto de que me ignoren.,ira
2023-06-18,Tengo miedo de lo que pueda pasar.,miedo
2023-01-29,No tengo ganas de seguir con nada.,depresión
2023-03-02,Sigo adelante porque aún tengo esperanza.,esperanza
2024-03-15,Me regalaron algo que quería hace mucho.,alegría
2024-11-01,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-12-30,Quisiera poder volver atrás y arreglarlo.,culpa
2023-12-13,Tengo miedo de lo que pueda pasar.,miedo
2023-11-27,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-07-12,Me cuesta levantarme de la cama.,depresión
2024-04-28,Tengo miedo de lo que pueda pasar.,miedo
2024-03-10,No esperaba que me dijera eso.,sorpresa
2023-08-30,Quisiera poder volver atrás y arreglarlo.,culpa
2023-12-22,Quiero desaparecer después de lo que pasó.,vergüenza
2023-08-28,Me cuesta levantarme de la cama.,depresión
2024-12-18,No tengo ganas de seguir con nada.,depresión
2024-02-26,Siento que algo malo va a suceder.,miedo
2023-04-21,Todo parece un caos en mi cabeza.,confusión
2025-01-22,Estoy harto de que me ignoren.,ira
2024-01-14,No esperaba que me dijera eso.,sorpresa
2024-03-10,No puedo dejar de pensar en lo que hice.,culpa
2023-09-17,No pude evitar llorar esta mañana.,tristeza
2023-02-24,Creo que las cosas pueden mejorar.,esperanza
2024-06-26,Estoy muy confundido con mis emociones.,confusión
2023-02-27,Creo que las cosas pueden mejorar.,esperanza
2023-06-28,Estoy harto de que me ignoren.,ira
2024-06-08,Estoy harto de que me ignoren.,ira
2024-11-21,Su sonrisa me cambia el día.,amor
2024-12-06,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-02-09,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-06-09,Me cuesta levantarme de la cama.,depresión
2023-08-20,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-12-18,Me cuesta levantarme de la cama.,depresión
2024-04-25,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-05-30,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-01-19,Tengo fe en que todo esto pasará.,esperanza
2024-07-19,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-04-29,Me siento muy avergonzado por lo que hice.,vergüenza
2024-09-19,"Cada vez que lo veo, me siento en paz.",amor
2024-06-25,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2024-08-24,No tengo ganas de seguir con nada.,depresión
2025-02-10,No entiendo lo que me está pasando.,confusión
2024-03-05,No tengo ganas de seguir con nada.,depresión
2023-06-15,No pude evitar llorar esta mañana.,tristeza
2024-09-07,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-09-30,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-08-15,Quisiera poder volver atrás y arreglarlo.,culpa
2024-08-16,Sigo adelante porque aún tengo esperanza.,esperanza
2023-07-28,Quiero desaparecer después de lo que pasó.,vergüenza
2023-10-02,Me cuesta levantarme de la cama.,depresión
2023-07-22,Quisiera poder volver atrás y arreglarlo.,culpa
2023-08-12,Quiero desaparecer después de lo que pasó.,vergüenza
2024-03-21,Tengo fe en que todo esto pasará.,esperanza
2024-11-08,Sigo adelante porque aún tengo esperanza.,esperanza
2024-08-20,Estoy harto de que me ignoren.,ira
2023-11-09,Su sonrisa me cambia el día.,amor
2024-04-19,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2023-07-02,"Fue una sorpresa total, no lo vi venir.",sorpresa
2023-12-23,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-09-30,Me siento culpable aunque no sé si debería.,culpa
2024-11-19,Nada me motiva últimamente.,tristeza
2023-11-13,Siento que no valgo nada.,depresión
2024-01-16,No puedo dejar de pensar en lo que hice.,culpa
2024-06-03,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-11-26,Mi corazón late rápido y no sé por qué.,ansiedad
2023-03-03,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2023-12-31,No esperaba que me dijera eso.,sorpresa
2023-03-07,No puedo creer que dije eso frente a todos.,vergüenza
2025-01-01,No entiendo lo que me está pasando.,confusión
2024-01-02,No pude evitar llorar esta mañana.,tristeza
2023-10-23,Siento que no valgo nada.,depresión
2024-02-08,No esperaba que me dijera eso.,sorpresa
2024-01-23,Todo parece un caos en mi cabeza.,confusión
2024-06-19,No pude evitar llorar esta mañana.,tristeza
2023-07-09,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-10-30,Su sonrisa me cambia el día.,amor
2023-09-22,No puedo dejar de pensar en todo al mismo tiempo.,ansiedad
2025-02-26,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-05-24,Nada me motiva últimamente.,tristeza
2024-06-15,"Hoy me siento increíble, todo va saliendo bien.",alegría
2024-04-05,Me siento muy avergonzado por lo que hice.,vergüenza
2024-07-16,Estoy muy confundido con mis emociones.,confusión
2023-09-21,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-05-22,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2024-06-10,Estoy enamorado y no me da miedo decirlo.,amor
2023-12-31,Estoy harto de que me ignoren.,ira
2023-12-07,Me quedé sin palabras.,sorpresa
2024-09-23,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-04-16,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-10-08,Me siento culpable aunque no sé si debería.,culpa
2023-10-24,Todo parece un caos en mi cabeza.,confusión
2024-05-25,Nada me motiva últimamente.,tristeza
2023-11-05,Quisiera poder volver atrás y arreglarlo.,culpa
2024-01-31,No pude evitar llorar esta mañana.,tristeza
2023-06-07,No puedo creer que dije eso frente a todos.,vergüenza
2023-10-02,Me quedé sin palabras.,sorpresa
2023-05-05,Nada me motiva últimamente.,tristeza
2024-07-21,"Me siento vacío, como si algo faltara.",tristeza
2024-01-27,No puedo creer que dije eso frente a todos.,vergüenza
2023-03-14,"Me siento vacío, como si algo faltara.",tristeza
2023-08-01,Creo que las cosas pueden mejorar.,esperanza
2024-11-16,Estoy muy confundido con mis emociones.,confusión
2023-10-08,Nada me motiva últimamente.,tristeza
2024-05-17,"Hoy me siento increíble, todo va saliendo bien.",alegría
2023-07-20,Me siento muy avergonzado por lo que hice.,vergüenza
2025-02-18,Me cuesta levantarme de la cama.,depresión
2024-04-17,"Me siento vacío, como si algo faltara.",tristeza
2023-09-15,"Cada vez que lo veo, me siento en paz.",amor
2024-03-08,No tengo ganas de seguir con nada.,depresión
2024-03-06,Me siento muy avergonzado por lo que hice.,vergüenza
2024-05-13,Quisiera poder volver atrás y arreglarlo.,culpa
2024-08-19,Me regalaron algo que quería hace mucho.,alegría
2024-08-13,No esperaba que me dijera eso.,sorpresa
2024-09-14,Me siento culpable aunque no sé si debería.,culpa
2024-11-05,"No soporto más esta situación, me enoja demasiado.",ira
2024-06-07,Estoy muy confundido con mis emociones.,confusión
2023-07-25,Me quedé sin palabras.,sorpresa
2024-01-09,Quiero desaparecer después de lo que pasó.,vergüenza
2023-05-27,No puedo dormir pensando en todo lo que podría salir mal.,miedo
2025-02-19,Quisiera poder volver atrás y arreglarlo.,culpa
2024-10-10,Todo parece un caos en mi cabeza.,confusión
2024-01-07,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-12-12,No entiendo lo que me está pasando.,confusión
2023-09-03,No puedo dejar de pensar en lo que hice.,culpa
2023-02-20,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2025-02-25,Estoy enamorado y no me da miedo decirlo.,amor
2024-08-03,Estoy harto de que me ignoren.,ira
2024-12-23,Estoy harto de que me ignoren.,ira
2025-01-15,Me quedé sin palabras.,sorpresa
2024-12-31,Su sonrisa me cambia el día.,amor
2023-06-10,Sigo adelante porque aún tengo esperanza.,esperanza
2024-08-04,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-12-04,"Me siento vacío, como si algo faltara.",tristeza
2023-04-18,Estoy muy confundido con mis emociones.,confusión
2023-09-24,No puedo creer que dije eso frente a todos.,vergüenza
2023-02-25,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-10-12,"Me siento vacío, como si algo faltara.",tristeza
2023-07-12,No esperaba que me dijera eso.,sorpresa
2024-03-16,Estoy enamorado y no me da miedo decirlo.,amor
2024-12-06,Me siento muy avergonzado por lo que hice.,vergüenza
2024-01-27,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-03-15,Me quedé sin palabras.,sorpresa
2023-12-25,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-09-30,Me quedé sin palabras.,sorpresa
2024-09-06,Creo que las cosas pueden mejorar.,esperanza
2023-08-04,Estoy harto de que me ignoren.,ira
2024-06-07,Siento que algo malo va a suceder.,miedo
2024-09-12,Me siento culpable aunque no sé si debería.,culpa
2023-08-03,"Me siento vacío, como si algo faltara.",tristeza
2023-03-22,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-02-15,Siento que algo malo va a suceder.,miedo
2023-11-01,"No soporto más esta situación, me enoja demasiado.",ira
2023-04-13,Nada me motiva últimamente.,tristeza
2024-02-12,Me siento culpable aunque no sé si debería.,culpa
2024-01-31,Me siento culpable aunque no sé si debería.,culpa
2024-02-09,Estoy muy confundido con mis emociones.,confusión
2024-11-16,"No soporto más esta situación, me enoja demasiado.",ira
2023-09-23,No puedo creer que dije eso frente a todos.,vergüenza
2025-01-19,Todo parece un caos en mi cabeza.,confusión
2024-11-29,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2024-01-12,Sigo adelante porque aún tengo esperanza.,esperanza
2024-09-11,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-05-01,Mi corazón late rápido y no sé por qué.,ansiedad
2024-01-28,No entiendo lo que me está pasando.,confusión
2024-03-18,No puedo dejar de pensar en lo que hice.,culpa
2024-05-05,Me siento culpable aunque no sé si debería.,culpa
2023-08-16,"Fue una sorpresa total, no lo vi venir.",sorpresa
2024-08-07,Quiero desaparecer después de lo que pasó.,vergüenza
2024-10-25,No puedo dejar de pensar en lo que hice.,culpa
2024-03-29,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2024-07-05,Tengo miedo de lo que pueda pasar.,miedo
2023-06-30,No entiendo lo que me está pasando.,confusión
2024-08-22,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2023-09-22,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2025-01-01,No pude evitar llorar esta mañana.,tristeza
2024-02-22,Me cuesta levantarme de la cama.,depresión
2024-12-17,Me cuesta levantarme de la cama.,depresión
2023-04-13,Estoy harto de que me ignoren.,ira
2024-01-30,No puedo dejar de pensar en lo que hice.,culpa
2024-10-08,"Todo me molesta hoy, no tengo paciencia para nada.",ira
2023-02-27,"Estoy rodeado de personas que amo, y eso me hace feliz.",alegría
2024-08-23,"Siento que algo anda mal, pero no sé qué es.",ansiedad
2023-10-29,Tengo miedo de lo que pueda pasar.,miedo
2023-07-01,Quisiera poder volver atrás y arreglarlo.,culpa
2024-01-20,No esperaba que me dijera eso.,sorpresa
2023-03-08,Me quedé sin palabras.,sorpresa
2024-03-28,Me siento culpable aunque no sé si debería.,culpa
2024-06-01,Estoy muy confundido con mis emociones.,confusión
2025-02-21,Tengo miedo de lo que pueda pasar.,miedo
2023-12-13,Me quedé sin palabras.,sorpresa
2023-09-21,Sigo adelante porque aún tengo esperanza.,esperanza
