fecha,texto,emocion
2024-01-21,Ira injusticia conflicto traición injusticia conflicto conflicto traición conflicto injusticia injusticia mentira.,enojo
2023-01-22,Nervios nervios presión incertidumbre preocupación miedo miedo.,ansiedad
2022-05-14,Agobio caos agobio fatiga agobio presión fatiga caos presión presión fatiga agobio.,estrés
2022-10-25,Miedo presión miedo presión nervios preocupación incertidumbre preocupación preocupación presión.,ansiedad
2024-09-23,Nervios presión miedo incertidumbre miedo nervios miedo preocupación preocupación incertidumbre.,ansiedad
2022-11-10,Sobrecarga agobio fatiga agobio caos caos caos sobrecarga fatiga sobrecarga.,estrés
2024-12-15,Conflicto mentira traición injusticia traición mentira mentira traición injusticia mentira injusticia.,enojo
2022-10-19,Fatiga sobrecarga presión caos agobio fatiga caos fatiga caos.,estrés
2023-10-02,Presión presión incertidumbre presión preocupación presión nervios preocupación presión miedo.,ansiedad
2025-02-14,Solitario pérdida pérdida nostalgia vacío vacío nostalgia llorar vacío vacío.,tristeza
2023-06-10,Mentira ira traición conflicto mentira mentira.,enojo
2024-02-16,Conflicto injusticia injusticia ira traición conflicto conflicto injusticia ira injusticia ira.,enojo
2023-07-16,Incertidumbre preocupación preocupación presión incertidumbre presión.,ansiedad
2023-03-01,Vacío llorar llorar llorar vacío llorar solitario solitario solitario.,tristeza
2024-10-18,Miedo presión presión miedo incertidumbre preocupación miedo preocupación presión miedo incertidumbre.,ansiedad
2024-07-06,Miedo miedo incertidumbre presión incertidumbre presión nervios miedo.,ansiedad
2022-11-06,Miedo incertidumbre nervios incertidumbre miedo presión preocupación preocupación preocupación nervios nervios miedo nervios.,ansiedad
2024-01-23,Logro risas éxito logro risas éxito risas.,felicidad
2024-06-28,Incertidumbre preocupación nervios incertidumbre preocupación nervios.,ansiedad
2023-01-26,Presión nervios incertidumbre presión preocupación nervios.,ansiedad
2022-06-08,Éxito logro éxito logro celebración celebración celebración éxito familia logro familia.,felicidad
2023-06-05,Traición ira conflicto traición ira injusticia injusticia ira.,enojo
2024-08-04,Vacío solitario pérdida nostalgia solitario vacío llorar pérdida solitario pérdida nostalgia.,tristeza
2023-03-05,Logro celebración risas éxito celebración celebración celebración éxito éxito risas éxito celebración risas.,felicidad
2024-04-10,Éxito éxito celebración risas celebración logro risas celebración logro risas éxito.,felicidad
2024-05-03,Familia éxito risas celebración éxito logro logro éxito.,felicidad
2024-01-24,Risas risas celebración logro éxito risas celebración éxito éxito éxito risas.,felicidad
2022-04-16,Sobrecarga presión sobrecarga fatiga caos fatiga presión agobio sobrecarga caos presión fatiga.,estrés
2025-02-10,Incertidumbre miedo nervios presión preocupación presión preocupación miedo incertidumbre presión presión.,ansiedad
2024-04-13,Pérdida solitario nostalgia llorar solitario llorar.,tristeza
2024-08-27,Mentira traición injusticia ira mentira mentira traición mentira traición ira injusticia conflicto.,enojo
2025-01-01,Presión fatiga caos presión caos fatiga presión sobrecarga.,estrés
2022-03-18,Vacío pérdida solitario solitario solitario llorar nostalgia llorar solitario nostalgia.,tristeza
2023-03-07,Logro familia familia celebración logro risas.,felicidad
2023-05-20,Llorar pérdida llorar vacío nostalgia vacío solitario solitario llorar vacío llorar nostalgia.,tristeza
2022-05-13,Celebración celebración risas celebración risas éxito.,felicidad
2023-08-17,Celebración éxito logro celebración celebración celebración risas éxito.,felicidad
2024-09-05,Conflicto traición mentira conflicto conflicto injusticia ira.,enojo
2022-06-06,Traición injusticia ira traición mentira conflicto ira mentira traición traición traición mentira conflicto.,enojo
2023-08-06,Pérdida vacío llorar llorar llorar llorar pérdida llorar nostalgia llorar nostalgia.,tristeza
2022-10-07,Agobio agobio caos sobrecarga fatiga agobio agobio caos agobio sobrecarga caos.,estrés
2023-09-05,Mentira traición ira injusticia traición injusticia mentira mentira injusticia.,enojo
2024-02-08,Risas éxito éxito risas risas familia éxito logro éxito risas éxito celebración familia.,felicidad
2023-11-21,Solitario solitario nostalgia pérdida pérdida llorar solitario solitario.,tristeza
2024-05-10,Conflicto ira ira ira traición ira injusticia ira conflicto injusticia ira.,enojo
2023-02-10,Agobio presión presión caos agobio sobrecarga caos agobio.,estrés
2023-02-19,Pérdida solitario pérdida llorar llorar llorar pérdida vacío nostalgia llorar.,tristeza
2022-11-30,Presión nervios nervios nervios preocupación miedo.,ansiedad
2022-11-07,Presión incertidumbre preocupación miedo nervios incertidumbre incertidumbre preocupación.,ansiedad
2025-01-17,Pérdida llorar vacío llorar nostalgia pérdida pérdida nostalgia llorar.,tristeza
2024-03-17,Presión preocupación presión nervios nervios incertidumbre presión miedo.,ansiedad
2022-12-25,Traición ira traición ira traición conflicto mentira.,enojo
2022-10-18,Pérdida llorar vacío pérdida pérdida solitario.,tristeza
2024-12-11,Caos caos fatiga caos fatiga presión presión agobio.,estrés
2024-11-14,Caos presión presión fatiga caos caos agobio caos.,estrés
2023-01-07,Fatiga sobrecarga presión fatiga fatiga fatiga fatiga presión fatiga presión.,estrés
2023-11-15,Presión preocupación nervios incertidumbre miedo presión presión nervios presión miedo presión incertidumbre presión.,ansiedad
2024-09-15,Familia risas risas logro logro celebración.,felicidad
2024-10-21,Llorar pérdida llorar pérdida pérdida llorar nostalgia vacío nostalgia nostalgia vacío vacío nostalgia.,tristeza
2023-04-19,Ira mentira injusticia conflicto injusticia mentira.,enojo
2022-07-21,Traición injusticia ira injusticia conflicto traición conflicto injusticia mentira ira injusticia.,enojo
2023-02-07,Ira injusticia injusticia mentira traición ira.,enojo
2022-07-19,Presión sobrecarga fatiga caos agobio fatiga sobrecarga fatiga agobio fatiga caos.,estrés
2022-10-14,Injusticia traición injusticia conflicto traición conflicto conflicto ira conflicto mentira mentira traición injusticia.,enojo
2023-05-19,Incertidumbre presión preocupación presión preocupación presión nervios incertidumbre presión preocupación miedo.,ansiedad
2024-04-26,Familia éxito logro éxito logro familia risas familia familia risas éxito.,felicidad
2022-12-19,Preocupación presión miedo incertidumbre miedo nervios presión.,ansiedad
2024-12-27,Preocupación miedo presión nervios presión nervios presión preocupación incertidumbre presión.,ansiedad
2023-12-25,Éxito logro familia risas familia celebración.,felicidad
2023-05-30,Nervios presión incertidumbre presión incertidumbre incertidumbre preocupación.,ansiedad
2023-02-05,Familia familia risas éxito familia celebración éxito familia risas risas celebración.,felicidad
2023-06-15,Mentira mentira conflicto traición ira conflicto traición.,enojo
2023-05-16,Fatiga caos presión agobio fatiga presión caos fatiga agobio sobrecarga presión.,estrés
2024-05-19,Llorar solitario nostalgia llorar llorar solitario llorar pérdida vacío vacío pérdida.,tristeza
2023-11-23,Solitario nostalgia solitario llorar llorar vacío pérdida vacío vacío.,tristeza
2024-05-17,Caos caos sobrecarga presión agobio sobrecarga sobrecarga.,estrés
2023-07-04,Pérdida solitario pérdida llorar solitario pérdida llorar llorar pérdida vacío solitario.,tristeza
2024-07-29,Risas risas familia risas logro familia familia celebración éxito.,felicidad
2025-03-05,Ira injusticia injusticia injusticia conflicto ira injusticia mentira conflicto mentira mentira ira conflicto.,enojo
2023-08-07,Nervios nervios miedo presión nervios miedo miedo preocupación incertidumbre nervios.,ansiedad
2022-05-08,Mentira ira ira traición conflicto ira ira conflicto ira.,enojo
2025-02-20,Mentira mentira ira traición traición conflicto injusticia mentira traición injusticia ira conflicto conflicto.,enojo
2023-08-27,Traición mentira ira traición conflicto traición mentira mentira injusticia injusticia.,enojo
2022-07-19,Celebración celebración éxito logro celebración celebración logro familia logro familia.,felicidad
2022-06-10,Preocupación incertidumbre presión miedo miedo miedo nervios presión presión.,ansiedad
2022-07-04,Pérdida pérdida llorar vacío vacío pérdida pérdida nostalgia nostalgia.,tristeza
2023-04-02,Preocupación nervios miedo presión presión nervios nervios nervios nervios presión incertidumbre miedo.,ansiedad
2022-12-01,Nostalgia pérdida solitario llorar llorar vacío llorar nostalgia.,tristeza
2024-08-05,Mentira ira mentira traición conflicto conflicto injusticia.,enojo
2023-07-17,Nervios nervios preocupación presión preocupación nervios preocupación nervios.,ansiedad
2023-06-09,Sobrecarga fatiga sobrecarga agobio sobrecarga presión caos sobrecarga fatiga.,estrés
2022-07-14,Vacío llorar nostalgia vacío llorar solitario pérdida vacío.,tristeza
2024-12-18,Celebración logro celebración celebración éxito familia risas familia familia logro risas logro éxito.,felicidad
